ID,Все 18+_TVR,Канал_ПЕРВЫЙ КАНАЛ,Канал_РЕН ТВ,Канал_РОССИЯ 1,Канал_СТС,Канал_ТНТ,day,year,month,hour,holidays
394,1.4,0,0,1,0,0,6,2018,11,15,0
395,1.69,0,0,1,0,0,6,2018,11,16,0
396,2.02,0,0,1,0,0,6,2018,11,17,0
397,3.41,0,0,1,0,0,6,2018,11,18,0
398,4.56,0,0,1,0,0,6,2018,11,19,0
399,7.09,0,0,1,0,0,6,2018,11,20,0
400,10.16,0,0,1,0,0,6,2018,11,21,0
401,10.08,0,0,1,0,0,6,2018,11,22,0
402,4.0,0,0,1,0,0,6,2018,11,23,0
403,2.84,0,0,1,0,0,7,2018,11,0,1
404,1.82,0,0,1,0,0,7,2018,11,1,1
405,1.37,0,0,1,0,0,7,2018,11,2,1
406,0.52,0,0,1,0,0,7,2018,11,3,1
407,0.12,0,0,1,0,0,7,2018,11,4,1
408,0.22,0,0,0,1,0,6,2018,11,5,0
409,0.3,0,0,0,1,0,6,2018,11,6,0
410,0.35,0,0,0,1,0,6,2018,11,7,0
411,0.34,0,0,0,1,0,6,2018,11,8,0
412,0.6,0,0,0,1,0,6,2018,11,9,0
413,0.4,0,0,0,1,0,6,2018,11,10,0
414,0.41,0,0,0,1,0,6,2018,11,11,0
415,0.66,0,0,0,1,0,6,2018,11,12,0
416,0.7,0,0,0,1,0,6,2018,11,13,0
417,0.82,0,0,0,1,0,6,2018,11,14,0
418,0.93,0,0,0,1,0,6,2018,11,15,0
419,1.03,0,0,0,1,0,6,2018,11,16,0
420,0.8,0,0,0,1,0,6,2018,11,17,0
421,0.74,0,0,0,1,0,6,2018,11,18,0
422,1.17,0,0,0,1,0,6,2018,11,19,0
423,1.79,0,0,0,1,0,6,2018,11,20,0
424,1.79,0,0,0,1,0,6,2018,11,21,0
425,1.69,0,0,0,1,0,6,2018,11,22,0
426,0.91,0,0,0,1,0,6,2018,11,23,0
427,0.83,0,0,0,1,0,7,2018,11,0,1
428,0.35,0,0,0,1,0,7,2018,11,1,1
429,0.18,0,0,0,1,0,7,2018,11,2,1
430,0.03,0,0,0,1,0,7,2018,11,3,1
431,0.1,0,0,0,1,0,7,2018,11,4,1
432,0.36,0,1,0,0,0,6,2018,11,5,0
433,0.38,0,1,0,0,0,6,2018,11,6,0
434,0.27,0,1,0,0,0,6,2018,11,7,0
435,0.71,0,1,0,0,0,6,2018,11,8,0
436,0.55,0,1,0,0,0,6,2018,11,9,0
437,0.24,0,1,0,0,0,6,2018,11,10,0
438,0.66,0,1,0,0,0,6,2018,11,11,0
439,1.14,0,1,0,0,0,6,2018,11,12,0
440,1.65,0,1,0,0,0,6,2018,11,13,0
441,1.23,0,1,0,0,0,6,2018,11,14,0
442,1.24,0,1,0,0,0,6,2018,11,15,0
443,0.78,0,1,0,0,0,6,2018,11,16,0
444,1.29,0,1,0,0,0,6,2018,11,17,0
445,1.05,0,1,0,0,0,6,2018,11,18,0
